date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:31	59566/59566	---M-Z	200	added ('OK')	text/html	etag:%22e8ae-5e1b7b6e-825ee488a1ce6249;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html	(from )
13:15:32	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Jun%202020%2007:45:30%20GMT	http://cvresumetemplate.com/robots.txt		(from )
13:15:33	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-5c5038be-f60f340e2ec01b74;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/favicon.ico	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/favicon.ico	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:15:33	99/99	---M--	200	added ('OK')	image/png	etag:%2263-5c5038ee-1cd397732f88f0c7;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon.png	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:15:34	86/86	---M--	200	added ('OK')	image/png	etag:%2256-5c5038ee-b1ba49552deaa63a;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-72x72.png	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-72x72.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:15:34	94/94	---M--	200	added ('OK')	image/png	etag:%225e-5c5038ee-806b43171c9bfe8e;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-114x114.png	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-114x114.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:15:35	31004/31004	---M-Z	200	added ('OK')	text/css	etag:%22791c-5bc4c7b8-df0862dde0ce7b8b;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/icons/font-awesome-4.7.0/css/font-awesome.min.css	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/icons/font-awesome-4.7.0/css/font-awesome.min.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:15:36	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%22235ed-5bb251ec-ea59fd6b33d8a228;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/bootstrap.min.css	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/bootstrap.min.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:15:37	43977/43977	---M-Z	200	added ('OK')	text/css	etag:%22abc9-5bb25670-1f0eecb87286a37b;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/animate.css	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/animate.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
13:15:37	4614/4614	---M-Z	200	added ('OK')	text/css	etag:%221206-5bb25670-fa93d8ecf3d01631;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/owl.css	C:/Users/JOY%20SINHA/Desktop/New%20folder/Port/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/owl.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-one-w.html)
